height,grange,dop
0.0,0.0,0.0
5.451905710699981,8.37953741034899,0.0
10.914823286442699,16.744743507104303,0.0
16.3887244730022,25.0956262552461,0.0
21.8735810562112,33.432193789374,0.0
27.3693648622757,41.754454412308604,0.0
32.8760477580836,50.0624165936975,0.0
38.393601651509,58.356088968624604,0.0
43.9219984917136,66.6354803362235,0.0
49.4612102694409,74.90059965829471,0.0
55.0112090173134,83.15145605792691,0.0
60.57196681011829,91.38805881812229,0.0
64.00273658419971,96.4547157746812,0.0
64.95022531333049,97.85203011117892,0.0
65.8589063046247,99.1914218012739,9.00306303991044e-05
67.375817729202,101.42563713643801,0.00021508030732172195
68.8264590337922,103.560299897362,0.00027671310516834516
71.863654549722,108.023558864099,0.000942080147185706
77.4537035452377,116.217095160406,0.00297790190429717
83.05293591726509,124.396404371434,0.004210840894355478
84.06164696830909,125.867179565586,0.0008283522912874463
85.02600669584349,127.27215552470301,0.0
85.9457873904348,128.611391580138,0.0
87.1959494604798,130.431814796568,0.0
88.26568364794001,131.990449115751,0.0
90.599759302022,135.399676398364,0.0
91.9047737959063,137.315248407002,0.0
93.3449867014851,139.441832425451,0.0
94.3858440728309,140.989306346884,0.0
95.3488739935619,142.430438382281,0.0
96.2296540524267,143.757188699067,0.0
97.38216895243109,145.50662112533,0.0
98.3707522129607,147.019559116631,0.0
99.3728193570414,148.564535347961,0.0
100.47197562201401,150.271559653598,0.0
101.956789547003,152.595392967698,0.0
103.71838215066,155.372785470372,0.0
104.67205868186599,156.882638530764,0.0
105.69536022796999,158.505623123779,0.0
106.814379940103,160.282184169033,0.0
107.631482045846,161.579728719108,0.0
108.34128558784599,162.70669666185302,0.0
109.046067679743,163.825304816471,0.0
110.394823012416,165.964552083179,0.0
111.70388271779,168.038095265267,0.0
112.70238745211,169.616972819821,0.0
113.810174680579,171.365298273402,0.0
114.873669283426,173.04019877809898,0.0
115.84627161127199,174.568960768854,0.0
116.86154264462601,176.16192862343001,0.0
117.92462757104299,177.827121069891,0.0
119.11294264850599,179.685650658932,0.0
120.690196216731,182.149138087039,0.0
122.96103820880501,185.692775574039,0.0
126.77168553788,191.644196080844,0.0
127.533963860699,192.83682651623002,0.0
128.208135957211,193.892224809612,0.0
129.190760640985,195.43060790106497,0.0
131.993272145427,199.817602330264,0.0
137.129612051021,207.85700604476298,0.0
142.25727391398598,215.883353490233,0.0
147.37484790143,223.896719429631,0.0
152.480704614486,231.897156839488,0.0
157.572931612901,239.884740096972,0.0
162.64924097819,247.85954971087898,0.0
167.70682971413,255.82167214237998,0.0
172.74215286619201,263.771202060353,0.0
177.75052813462503,271.708230510295,0.0
182.725360522256,279.63287924793997,0.0
187.656316530971,287.545273818773,0.0
190.163176371372,291.599614348414,0.0
191.372685418213,293.566363111244,0.0
192.46055178364398,295.342907212808,0.0
193.12493755625198,296.432220841232,0.0
194.145475551815,298.11310515996104,0.0
196.422064168842,301.89904350342204,0.0
198.971138278412,306.202269466108,0.0
202.99244794056,313.146418024129,0.0
207.39795569733002,321.009135883,0.0
211.628363049977,328.861166846422,0.0
215.67245217676003,336.70300130417803,0.0
219.52013569842202,344.53516391454804,0.0
223.162599803994,352.35820495859,0.0
226.59239808078,360.17270296757994,0.0
229.803474439294,367.979259779911,0.0
232.79114685515498,375.778491579408,0.0
235.552029648894,383.571028001865,0.0
238.083922196657,391.357507877786,0.0
240.38566820763802,399.13856861650004,0.0
242.456995367977,406.914846648565,0.0
244.29833515056197,414.686975100675,0.0
245.910645914625,422.455578533546,0.0
247.29525022509398,430.22127041731596,0.0
248.453680395671,437.98464814126197,0.0
249.38752995903099,445.746297809882,0.0
250.098341118174,453.50679454504797,0.0
250.587503944986,461.266693669382,0.0
250.85616510855598,469.026538157405,0.0
250.905196391796,476.786855511866,0.0
250.735142847621,484.548159684135,0.0
250.34620361367996,492.310956370718,0.0
249.738263949829,500.07573361708,0.0
248.910923614934,507.84297373268896,0.0
247.863543518951,515.613148001988,0.0
246.595325509127,523.3867140110859,0.0
245.105405114946,531.164132962601,0.0
243.392961434288,538.945855111765,0.0
241.457356950339,546.732328313588,0.0
239.29827265535,554.523998041915,0.0
236.91585634113997,562.321304682465,0.0
234.310889235647,570.1246810478781,0.0
231.484942366245,577.934567540233,0.0
228.440512756885,585.7514040941901,0.0
225.181158381536,593.57562599416,0.0
221.711594011503,601.407664749124,0.0
218.037751954002,609.247946804098,0.0
214.166808834352,617.096897320466,0.0
210.10714621889701,624.954933799937,0.0
205.86828691898103,632.822470387084,0.0
