height,grange
0,0
5.74102575287634,8.18414780907937
11.4925553454186,16.3535589267435
17.2545604068991,24.5082463278542
23.0270126172754,32.6482231335238
28.8098837074258,40.7735026096789
34.6031454593804,48.8840981656288
40.4067697065484,56.9800233526411
46.2207283339421,65.061291862522
52.0449932783949,73.1279175262038
57.8795365287806,81.1799143123373
63.7243301262224,89.217296325891
65.0115413787962,90.9835600680305
66.3401653037181,92.8052834190508
68.0382518357028,95.1315028991752
72.363184347877,101.045795989832
78.2316681083994,109.047072857088
84.1095452698228,117.033780379507
85.9978306425401,119.594423538944
87.638200948244,121.818810829514
89.1761987344144,123.906627955135
90.9315398202098,126.296027949561
92.4390127081324,128.357819992753
93.4691593813641,129.774233752171
94.4820252236677,131.174278067193
95.408703340283,132.462556361111
96.3522608947142,133.782248157574
97.244510418991,135.037968440367
98.2764185935293,136.499870160932
99.5669993348165,138.342443898145
100.918428830589,140.287434453528
102.456502691945,142.517179012575
104.01773935319,144.79340129714
105.291373501344,146.656360688421
106.37339082957,148.241263712089
107.314034885583,149.619685161152
108.130163309314,150.815567709162
109.827558951858,153.30137492104
111.028290371186,155.058048229442
112.067704919376,156.576792350707
116.337611230035,162.788982881245
120.011069595678,168.101381872387
123.902411780528,173.714883192519
125.959779198896,176.684389133831
127.131154207989,178.377007095031
128.442442878441,180.27356697589
129.182090064546,181.343475475015
132.095867045686,185.557742042004
137.525757195731,193.409804147601
142.946365313727,201.248404708565
148.356174931905,209.073603450572
153.753415375347,216.885477424075
159.135979548029,224.684112247586
164.501306215854,232.469578098226
169.846191037824,240.241968349767
175.166457812256,248.001386313956
180.45635462001,255.747944183571
185.707207006334,263.481765006253
190.903461210934,271.202993032001
192.221248986825,273.177623194337
193.189585156317,274.634933077019
194.071869176262,275.9684834972
196.186354722639,279.189069381297
198.25575553708,282.37673664011
201.904468425527,288.092443354961
206.67436520928,295.774989630648
211.270473691264,303.446248411949
215.680443000093,311.106702415597
219.893131337066,318.756870586273
223.898818797818,326.397303914611
227.689339556653,334.02858796785
231.258151460544,341.651338278953
234.600348337399,349.266180230757
237.712587517215,356.873757010908
240.592978334844,364.474721380486
243.240915115726,372.069728142998
245.656896362435,379.659429095291
247.842321613728,387.244470157288
249.799271372211,394.825488596899
251.530312204133,402.403104700533
253.038298294321,409.97792643567
254.326190295986,417.550545087688
255.396902725956,425.121533431858
256.253164217796,432.691447513327
256.89741121149,440.260820000437
257.331697419262,447.830171552624
257.557612372003,455.400005891845
257.576246615935,462.970806577576
257.388169911002,470.543046022186
256.993421841852,478.1171815398
256.391529808287,485.693660091359
255.581521187986,493.272920355534
254.56199622862,500.855386427688
253.331193080098,508.441482049045
251.887084697721,516.031621187152
250.227482655672,523.626207760222
248.350177057527,531.225653782207
246.253087984595,538.830365458058
243.934424528782,546.44074747907
241.392869469637,554.057207168365
238.62776519638,561.680152257212
235.639296934215,569.309985507078
232.42867674431,576.947118518036
228.998302083415,584.591969212736
225.351890821516,592.244953488114
221.494562215028,599.906481766766
217.432895729047,607.57696516692
213.174912031888,615.256813064716
208.730002863838,622.946433103856
204.108793820418,630.646226849799
199.322963009457,638.356586217853
194.385007132718,646.077885683535
192.850642310285,648.435114620293
191.80716704759,650.027808748558
190.477758690717,652.046439471151
189.654361026084,653.292045147673
188.803136239313,654.576652454126
185.710611124327,659.222520032372
182.749021888884,663.647822975851
179.851336287811,667.960637003816
176.412572226085,673.061708241663
171.50120382113,680.322495178596
166.218342872629,688.108191685682
160.914671093074,695.906201996149
155.593620304378,703.716595221381
150.257880897992,711.539432237494
144.90963247007,719.374771278272
139.550687866939,727.222665519157
134.182583863206,735.08316376978
128.806645007122,742.956312218551
127.795222932895,744.43789348026
126.8586396119,745.809543584735
125.840254817246,747.299875840541
123.546388180256,750.65281265213
121.184666903705,754.102826640362
118.887974615424,757.460446943289
116.034271868372,761.642928176149
114.317978943195,764.166797683341
113.201072700426,765.813155711239
112.042984207037,767.523419275851
111.041646053375,769.004544564418
109.869984747442,770.739691020915
108.501105715901,772.768763733208
107.12195487281,774.814534223168
105.924390009103,776.591396921335
104.854341104147,778.178422586776
103.525186527691,780.147045115727
102.622431087122,781.481074727417
101.657548394604,782.902849872061
100.721183781142,784.277358576981
99.6655935252102,785.819173682526
98.4104397388328,787.639779332455
97.0493060744957,789.596304091156
95.6623017753273,791.569547282668
94.5212390908628,793.177398531695
93.6617908590933,794.3796682676
92.7856583825651,795.598181764521
91.6389245084456,797.183533404067
90.6131122920679,798.594087217213
89.5945194213946,799.989138058898
88.4790154810571,801.512234500165
87.2903967721168,803.131596653499
86.2699892977525,804.520094613933
85.2781141714413,805.869113094945
84.2742072731689,807.234517682471
83.2762162557301,808.592357637331
82.1610360923069,810.110439704407
80.9640301191221,811.740964237388
79.5504135245365,813.6680003274
76.7775231829737,817.452563123466
71.0681416290317,825.263992502961
65.221329946271,833.29009300112
64.4560612227715,834.342582013064
63.7493265732401,835.314950816711
62.8267059981863,836.584976982608
56.9932713575072,844.631567737509
51.1701091157111,852.692763511137
45.3572472409314,860.768578221182
39.5547137531821,868.859025647942
33.7625367241417,876.964119432921
27.9807442769334,885.083873077426
22.2093645859031,893.218299941147
16.4484258763923,901.367413240743
10.6979564245057,909.531226048415
4.95798455687964,917.709751290471
0,924.799792786981
