YEAR      MONTH     DAY       HOUR      MIN       SEC       GDLATR        GDLONR        INTTMS     GDALT      DGDALT     VIPN2         DVIPN2        VIPE1         DVIPE1        
  2005         9         8        12         2        30    -1.19500e+01  -7.68700e+01      300.0     155.00      15.00        missing       missing       missing       missing 
  2005         9         8        12         7        30    -1.19500e+01  -7.68700e+01      300.0     155.00      15.00        missing       missing       missing       missing 
  2005         9         8        12        12        30    -1.19500e+01  -7.68700e+01      300.0     155.00      15.00        missing       missing       missing       missing 
  2005         9         8        12        17        30    -1.19500e+01  -7.68700e+01      300.0     155.00      15.00        missing       missing       missing       missing 
  2005         9         8        12        22        30    -1.19500e+01  -7.68700e+01      300.0     155.00      15.00        missing       missing       missing       missing 
  2005         9         8        12        27        30    -1.19500e+01  -7.68700e+01      300.0     155.00      15.00        missing       missing       missing       missing 
  2005         9         8        12        32        30    -1.19500e+01  -7.68700e+01      300.0     155.00      15.00        missing       missing       missing       missing 
  2005         9         8        12        37        30    -1.19500e+01  -7.68700e+01      300.0     155.00      15.00        missing       missing       missing       missing 
  2005         9         8        12        42        30    -1.19500e+01  -7.68700e+01      300.0     155.00      15.00        missing       missing       missing       missing 
  2005         9         8        12        47        30    -1.19500e+01  -7.68700e+01      300.0     155.00      15.00        missing       missing       missing       missing 
  2005         9         8        12        52        30    -1.19500e+01  -7.68700e+01      300.0     155.00      15.00        missing       missing       missing       missing 
  2005         9         8        12        57        30    -1.19500e+01  -7.68700e+01      300.0     155.00      15.00        missing       missing       missing       missing 
  2005         9         8        13         2        30    -1.19500e+01  -7.68700e+01      300.0     155.00      15.00        missing       missing       missing       missing 
  2005         9         8        13         7        30    -1.19500e+01  -7.68700e+01      300.0     155.00      15.00        missing       missing       missing       missing 
  2005         9         8        13        12        30    -1.19500e+01  -7.68700e+01      300.0     155.00      15.00        missing       missing       missing       missing 
  2005         9         8        13        17        30    -1.19500e+01  -7.68700e+01      300.0     155.00      15.00        missing       missing       missing       missing 
  2005         9         8        13        22        30    -1.19500e+01  -7.68700e+01      300.0     155.00      15.00        missing       missing       missing       missing 
  2005         9         8        13        27        30    -1.19500e+01  -7.68700e+01      300.0     155.00      15.00        missing       missing       missing       missing 
  2005         9         8        13        32        30    -1.19500e+01  -7.68700e+01      300.0     155.00      15.00        missing       missing       missing       missing 
  2005         9         8        13        37        30    -1.19500e+01  -7.68700e+01      300.0     155.00      15.00        missing       missing       missing       missing 
  2005         9         8        13        42        30    -1.19500e+01  -7.68700e+01      300.0     155.00      15.00        missing       missing       missing       missing 
  2005         9         8        13        47        30    -1.19500e+01  -7.68700e+01      300.0     155.00      15.00        missing       missing       missing       missing 
  2005         9         8        13        52        30    -1.19500e+01  -7.68700e+01      300.0     155.00      15.00   6.47000e+00   7.60000e-01  -5.24000e+01   5.80000e+00  
  2005         9         8        13        57        30    -1.19500e+01  -7.68700e+01      300.0     155.00      15.00   7.70000e+00   1.03000e+00  -4.76000e+01   6.30000e+00  
  2005         9         8        14         2        30    -1.19500e+01  -7.68700e+01      300.0     155.00      15.00   8.32000e+00   8.00000e-01  -1.78000e+01   1.06000e+01  
  2005         9         8        14         7        30    -1.19500e+01  -7.68700e+01      300.0     155.00      15.00   9.80000e+00   6.50000e-01  -5.70000e+01   7.30000e+00  
  2005         9         8        14        12        30    -1.19500e+01  -7.68700e+01      300.0     155.00      15.00   1.05800e+01   7.20000e-01  -2.96000e+01   4.80000e+00  
  2005         9         8        14        17        30    -1.19500e+01  -7.68700e+01      300.0     155.00      15.00   1.04600e+01   6.60000e-01  -4.92000e+01   4.60000e+00  
  2005         9         8        14        22        30    -1.19500e+01  -7.68700e+01      300.0     155.00      15.00   1.12100e+01   5.40000e-01  -6.05000e+01   7.20000e+00  
