YEAR      MONTH     DAY       HOUR      MIN       SEC       GDLATR        GDLONR        INTTMS     GDALT      DGDALT     VIPN2         DVIPN2        VIPE1         DVIPE1        
  2005         9         7        12         2        30    -1.19500e+01  -7.68700e+01      300.0     155.00      15.00        missing       missing       missing       missing 
  2005         9         7        12         7        30    -1.19500e+01  -7.68700e+01      300.0     155.00      15.00        missing       missing       missing       missing 
  2005         9         7        12        12        30    -1.19500e+01  -7.68700e+01      300.0     155.00      15.00        missing       missing       missing       missing 
  2005         9         7        12        17        30    -1.19500e+01  -7.68700e+01      300.0     155.00      15.00        missing       missing       missing       missing 
  2005         9         7        12        22        30    -1.19500e+01  -7.68700e+01      300.0     155.00      15.00        missing       missing       missing       missing 
  2005         9         7        12        27        30    -1.19500e+01  -7.68700e+01      300.0     155.00      15.00        missing       missing       missing       missing 
  2005         9         7        12        32        30    -1.19500e+01  -7.68700e+01      300.0     155.00      15.00        missing       missing       missing       missing 
  2005         9         7        12        37        30    -1.19500e+01  -7.68700e+01      300.0     155.00      15.00        missing       missing       missing       missing 
  2005         9         7        12        42        30    -1.19500e+01  -7.68700e+01      300.0     155.00      15.00        missing       missing       missing       missing 
  2005         9         7        12        47        30    -1.19500e+01  -7.68700e+01      300.0     155.00      15.00        missing       missing       missing       missing 
  2005         9         7        12        52        30    -1.19500e+01  -7.68700e+01      300.0     155.00      15.00        missing       missing       missing       missing 
  2005         9         7        12        57        30    -1.19500e+01  -7.68700e+01      300.0     155.00      15.00        missing       missing       missing       missing 
  2005         9         7        13         2        30    -1.19500e+01  -7.68700e+01      300.0     155.00      15.00        missing       missing       missing       missing 
  2005         9         7        13         7        30    -1.19500e+01  -7.68700e+01      300.0     155.00      15.00        missing       missing       missing       missing 
  2005         9         7        13        12        30    -1.19500e+01  -7.68700e+01      300.0     155.00      15.00        missing       missing       missing       missing 
  2005         9         7        13        17        30    -1.19500e+01  -7.68700e+01      300.0     155.00      15.00        missing       missing       missing       missing 
  2005         9         7        13        22        30    -1.19500e+01  -7.68700e+01      300.0     155.00      15.00        missing       missing       missing       missing 
  2005         9         7        13        27        30    -1.19500e+01  -7.68700e+01      300.0     155.00      15.00        missing       missing       missing       missing 
  2005         9         7        13        32        30    -1.19500e+01  -7.68700e+01      300.0     155.00      15.00        missing       missing       missing       missing 
  2005         9         7        13        37        30    -1.19500e+01  -7.68700e+01      300.0     155.00      15.00        missing       missing       missing       missing 
  2005         9         7        13        42        30    -1.19500e+01  -7.68700e+01      300.0     155.00      15.00        missing       missing       missing       missing 
  2005         9         7        13        47        30    -1.19500e+01  -7.68700e+01      300.0     155.00      15.00        missing       missing       missing       missing 
  2005         9         7        13        52        30    -1.19500e+01  -7.68700e+01      300.0     155.00      15.00        missing       missing       missing       missing 
  2005         9         7        13        57        30    -1.19500e+01  -7.68700e+01      300.0     155.00      15.00        missing       missing       missing       missing 
  2005         9         7        14         2        30    -1.19500e+01  -7.68700e+01      300.0     155.00      15.00        missing       missing       missing       missing 
  2005         9         7        14         7        30    -1.19500e+01  -7.68700e+01      300.0     155.00      15.00   1.33400e+01   8.50000e-01        missing       missing 
  2005         9         7        14        12        30    -1.19500e+01  -7.68700e+01      300.0     155.00      15.00   1.33000e+01   6.60000e-01  -4.14000e+01   4.50000e+00  
